Product Name,Category,Ingredients,Quantity Sold,Price,Cost per Unit,Total Revenue,Discount Applied,Customer Segment,Order Date,Expiration Date,Shelf Life (Days),Customer Age,Customer Gender,Payment Method,Order Type,Wastage Quantity,Review Rating,Packaging Type,When the Product Was Bought
Chocolate Cake,Cakes,"Cocoa, Baking Powder, Sugar",1,229,137.4,229,False,Family,2025-04-18,2025-04-21,3,20,Male,UPI,Bulk,2,1.3,Paper Box,2025-04-18
Vanilla Cupcake,Cupcakes,"Sugar, Baking Powder, Butter",3,170,102.0,510,True,Individual,2025-04-13,2025-04-19,6,38,Other,Cash,Single,1,4.9,Plastic Wrap,2025-04-13
Muffin,Pastries,"Baking Powder, Butter, Cocoa",2,290,174.0,580,True,Individual,2025-04-24,2025-04-27,3,53,Other,Debit Card,Bulk,0,1.2,Cloth Bag,2025-04-24
Cheese Pastry,Baked Goods,"Eggs, Butter, Baking Powder",2,150,90.0,300,True,Business,2025-04-14,2025-04-18,4,19,Female,Debit Card,Bulk,0,3.0,Cloth Bag,2025-04-14
Sourdough,Cakes,"Eggs, Butter, Sugar",3,103,61.8,309,False,Individual,2025-04-14,2025-04-18,4,31,Male,UPI,Bulk,2,1.1,Paper Box,2025-04-14
Sourdough,Baked Goods,"Flour, Sugar, Baking Powder",2,131,78.6,262,True,Business,2025-04-14,2025-04-19,5,27,Male,UPI,Single,0,2.7,Paper Box,2025-04-14
Fruit Tart,Cupcakes,"Sugar, Butter, Cocoa",2,126,75.6,252,False,Individual,2025-04-14,2025-04-18,4,35,Other,Cash,Bulk,1,2.5,Paper Box,2025-04-14
Croissant,Baked Goods,"Flour, Baking Powder, Butter",1,250,150.0,250,True,Individual,2025-04-14,2025-04-17,3,35,Other,Debit Card,Single,0,3.3,Plastic Wrap,2025-04-14
Croissant,Pastries,"Sugar, Butter, Flour",3,239,143.4,717,True,Individual,2025-04-13,2025-04-18,5,53,Male,Debit Card,Single,0,2.3,Cloth Bag,2025-04-13
Fruit Tart,Cakes,"Milk, Butter, Baking Powder",3,285,171.0,855,True,Individual,2025-04-12,2025-04-17,5,32,Female,Debit Card,Bulk,0,2.6,Paper Box,2025-04-12
Sourdough,Baked Goods,"Butter, Eggs, Baking Powder",3,292,175.2,876,True,Business,2025-04-12,2025-04-18,6,21,Other,Cash,Single,0,4.7,Plastic Wrap,2025-04-12
